Ticker,Date,Cleaned_Headlines
TSM,2021-12-03,"[""tsm shares quiet following recent article from wccftech 'apple's 'm3' chips for macs will be based on tsmc's 3nm process, test production underway'""]"
TSM,2022-01-06,"[""benzinga pro's top 5 stocks to watch for thursday, jan. 6, 2022: c, dal, tlry, kbh, tsm""]"
TSM,2022-01-10,"['benzinga asks: which company could join the $1 market cap club next? did nvda, tsm, brka or tcehy win?']"
TSM,2022-01-12,"['top 10 wallstreetbets mentions for january 12, 2022 since 9:30 am open: tsla, gme, lcid, baba, tsm, nvda, hood, msft, tell, amc']"
TSM,2022-02-11,['check out what whales are doing with tsm']
TSM,2022-03-08,['3 non stocks to play the new iphone and ipad air']
TSM,2022-04-13,"['top wallstreetbets mentions for wednesday april 13, 2022 after: gme, tsla, webr, tsm, arqq, amd, jpm, veru, amc, nvda']"
TSM,2022-04-14,"['top wallstreetbets mentions for thursday april 14, 2022 since 93:0 am et open: twtr, tsla, gme, amd, nvda, pton, tsm, aapl, ater, amc', 'top wallstreetbets mentions for thursday april 14, 2022 since 12am et: gme, tsm, tsla, amd, bbby, nvda, amc, twtr, webr, jpm']"
TSM,2022-05-26,['7 stocks most likely to be impacted by iphone 14 delays']
TSM,2022-05-27,['check out what whales are doing with tsm']
TSM,2022-07-02,"[""rumors of iphone 14 production cuts surface: why prominent apple analyst isn't concerned""]"
TSM,2022-07-05,"['check out what whales are doing with tsm', ""benzinga pro's top 5 stocks to watch for tuesday, jul. 5, 2022: rmed, rbcn, levi, dal, tsm""]"
TSM,2022-07-14,"['top wall street bets mentions for thursday july 14, 2022 since 9:30 am et open: gme, aapl, tsla, tlry, amc, jpm, tsm, baba, twtr, amd', 'ten stocks trending on discord for wednesday july 13, 2022: tsla, petz, aapl, nept, mic, hgen, twtr, nvda, gme, amzn, tsm', 'top wall street bets mentions for wednesday july 13, 2022 after: gme, tsla, jpm, aapl, uvxy, tsm, amd, twtr, goog, wafd']"
TSM,2022-08-05,"[""iphone assembler's shipments face scrutiny by chinese custom officials after executive met nancy pelosi: report"", 'check out what whales are doing with tsm']"
TSM,2022-08-23,"['benzinga before the bell: tesla loses challenge against racial bias accusation, monkey pox vaccines may not be enough, apple to manufacture iphone 14 in india soon after release and other top financial stories tuesday, august 23']"
TSM,2022-08-29,['check out what whales are doing with tsm']
